time,user_id,channel_capacity,allocated_bitrate,enforced_bitrate,allocated_resources,max_rate,min_rate,tokens,bucket_capacity,was_throttled
18,4,3524.56,4000,4000,18,6000.0,4000,20000000.0,24000000.0,0
18,5,1711.3,500,500,3,750.0,500,2500000.0,3000000.0,0
18,6,6608.68,8000,8000,19,9600.0,8000,29600000.0,38400000.0,0
18,7,4724.82,4000,4000,9,6000.0,4000,20000000.0,24000000.0,0
19,0,7532.76,4000,4000,6,6000.0,4000,20000000.0,24000000.0,0
19,1,5179.61,8000,8000,24,9600.0,8000,30400000.0,38400000.0,0
19,2,2239.66,2000,2000,9,3000.0,2000,10000000.0,12000000.0,0
19,3,7427.49,4000,4000,6,6000.0,4000,20000000.0,24000000.0,0
19,4,3765.41,4000,4000,16,6000.0,4000,20000000.0,24000000.0,0
19,5,1773.22,500,500,3,750.0,500,2500000.0,3000000.0,0
19,6,6814.19,8000,8000,18,9600.0,8000,30400000.0,38400000.0,0
19,7,5199.02,4000,4000,8,6000.0,4000,20000000.0,24000000.0,0
20,0,7471.42,4000,4000,6,6000.0,4000,20000000.0,24000000.0,0
20,1,4991.18,8000,8000,25,9600.0,8000,30400000.0,38400000.0,0
20,2,2106.23,2000,2000,10,3000.0,2000,10000000.0,12000000.0,0
20,3,7223.53,4000,4000,6,6000.0,4000,20000000.0,24000000.0,0
20,4,3746.13,4000,4000,17,6000.0,4000,20000000.0,24000000.0,0
20,5,1824.39,500,500,3,750.0,500,2500000.0,3000000.0,0
20,6,6883.36,8000,8000,18,9600.0,8000,30400000.0,38400000.0,0
20,7,5405.82,4000,4000,8,6000.0,4000,20000000.0,24000000.0,0
21,0,7474.67,4000,4000,6,6000.0,4000,20000000.0,24000000.0,0
21,1,5354.56,8000,8000,23,9600.0,8000,30400000.0,38400000.0,0
21,2,2066.53,2000,2000,10,3000.0,2000,10000000.0,12000000.0,0
21,3,7903.58,8000,8000,16,9600.0,8000,21600000.0,38400000.0,0
21,4,3902.55,4000,4000,16,6000.0,4000,20000000.0,24000000.0,0
21,5,1695.82,500,500,3,750.0,500,2500000.0,3000000.0,0
21,6,6615.64,8000,8000,19,9600.0,8000,30400000.0,38400000.0,0
21,7,5526.43,2000,2000,4,3000.0,2000,10000000.0,12000000.0,0
22,0,7418.8,4000,4000,6,6000.0,4000,20000000.0,24000000.0,0
22,1,5533.06,8000,8000,22,9600.0,8000,30400000.0,38400000.0,0
22,2,2137.52,2000,2000,10,3000.0,2000,10000000.0,12000000.0,0
22,3,7885.37,8000,8000,16,9600.0,8000,23200000.0,38400000.0,0
22,4,3690.85,4000,4000,17,6000.0,4000,20000000.0,24000000.0,0
22,5,1468.59,500,500,4,750.0,500,2500000.0,3000000.0,0
22,6,6504.01,8000,8000,19,9600.0,8000,30400000.0,38400000.0,0
22,7,5740.53,2000,2000,4,3000.0,2000,10000000.0,12000000.0,0
23,0,7472.32,4000,4000,6,6000.0,4000,20000000.0,24000000.0,0
23,1,5221.63,8000,8000,23,9600.0,8000,30400000.0,38400000.0,0
23,2,2163.49,2000,2000,10,3000.0,2000,10000000.0,12000000.0,0
23,3,7981.7,8000,8000,16,9600.0,8000,24800000.0,38400000.0,0
23,4,3469.88,4000,4000,18,6000.0,4000,20000000.0,24000000.0,0
23,5,1491.65,500,500,4,750.0,500,2500000.0,3000000.0,0
23,6,6518.56,8000,8000,19,9600.0,8000,30400000.0,38400000.0,0
23,7,5454.79,2000,2000,4,3000.0,2000,10000000.0,12000000.0,0
24,0,7561.77,8000,8000,16,9600.0,8000,21600000.0,38400000.0,0
24,1,5361.82,4000,4000,8,6000.0,4000,20000000.0,24000000.0,0
24,2,2325.95,4000,4000,26,6000.0,4000,14000000.0,24000000.0,0
24,3,8245.15,8000,8000,10,9600.0,8000,26400000.0,38400000.0,0
24,4,3125.47,4000,4000,20,6000.0,4000,20000000.0,24000000.0,0
24,5,1350.98,500,500,4,750.0,500,2500000.0,3000000.0,0
24,6,6647.32,4000,4000,7,6000.0,4000,20000000.0,24000000.0,0
24,7,5583.24,2000,2000,4,3000.0,2000,10000000.0,12000000.0,0
25,0,7690.53,8000,8000,16,9600.0,8000,23200000.0,38400000.0,0
25,1,6000.0,4000,4000,7,6000.0,4000,20000000.0,24000000.0,0
25,2,2411.58,4000,4000,25,6000.0,4000,16000000.0,24000000.0,0
25,3,8529.04,8000,8000,10,9600.0,8000,28000000.0,38400000.0,0
25,4,3363.97,2000,2000,6,3000.0,2000,10000000.0,12000000.0,0
25,5,1448.68,2000,2000,21,3000.0,2000,7000000.0,12000000.0,0
25,6,6568.51,4000,4000,7,6000.0,4000,20000000.0,24000000.0,0
25,7,5772.98,2000,2000,4,3000.0,2000,10000000.0,12000000.0,0
26,0,7497.33,8000,8000,17,9600.0,8000,24800000.0,38400000.0,0
26,1,5940.8,4000,4000,7,6000.0,4000,20000000.0,24000000.0,0
26,2,2338.78,2000,2000,9,3000.0,2000,10000000.0,12000000.0,0
26,3,8549.51,8000,8000,10,9600.0,8000,29600000.0,38400000.0,0
26,4,3942.63,2000,2000,6,3000.0,2000,10000000.0,12000000.0,0
26,5,1168.59,2000,2000,26,3000.0,2000,8000000.0,12000000.0,0
26,6,6740.07,4000,4000,6,6000.0,4000,20000000.0,24000000.0,0
26,7,5369.8,2000,2000,4,3000.0,2000,10000000.0,12000000.0,0
27,0,7379.34,8000,8000,17,9600.0,8000,26400000.0,38400000.0,0
27,1,6000.0,4000,4000,7,6000.0,4000,20000000.0,24000000.0,0
27,2,2348.42,2000,2000,9,3000.0,2000,10000000.0,12000000.0,0
27,3,8280.07,8000,8000,10,9600.0,8000,30400000.0,38400000.0,0
27,4,3763.81,2000,2000,6,3000.0,2000,10000000.0,12000000.0,0
27,5,1270.53,2000,2000,24,3000.0,2000,9000000.0,12000000.0,0
27,6,6557.48,4000,4000,7,6000.0,4000,20000000.0,24000000.0,0
27,7,5423.92,2000,2000,4,3000.0,2000,10000000.0,12000000.0,0
28,0,7390.74,8000,8000,17,9600.0,8000,28000000.0,38400000.0,0
28,1,5837.1,4000,4000,7,6000.0,4000,20000000.0,24000000.0,0
28,2,2670.01,2000,2000,8,3000.0,2000,10000000.0,12000000.0,0
28,3,8438.55,8000,8000,10,9600.0,8000,30400000.0,38400000.0,0
28,4,3257.52,2000,2000,7,3000.0,2000,10000000.0,12000000.0,0
28,5,1298.5,2000,2000,24,3000.0,2000,10000000.0,12000000.0,0
28,6,6392.03,4000,4000,7,6000.0,4000,20000000.0,24000000.0,0
28,7,5637.02,2000,2000,4,3000.0,2000,10000000.0,12000000.0,0
29,0,7192.61,8000,8000,17,9600.0,8000,29600000.0,38400000.0,0
29,1,5808.42,4000,4000,7,6000.0,4000,20000000.0,24000000.0,0
29,2,2745.76,2000,2000,8,3000.0,2000,10000000.0,12000000.0,0
29,3,8654.99,8000,8000,10,9600.0,8000,30400000.0,38400000.0,0
29,4,2957.45,2000,2000,7,3000.0,2000,10000000.0,12000000.0,0
29,5,1248.33,2000,2000,25,3000.0,2000,10000000.0,12000000.0,0
29,6,6273.3,4000,4000,7,6000.0,4000,20000000.0,24000000.0,0
29,7,5473.69,2000,2000,4,3000.0,2000,10000000.0,12000000.0,0
30,0,7633.97,8000,8000,16,9600.0,8000,30400000.0,38400000.0,0
30,1,5909.66,4000,4000,7,6000.0,4000,20000000.0,24000000.0,0
30,2,2556.63,2000,2000,8,3000.0,2000,10000000.0,12000000.0,0
30,3,8884.46,8000,8000,10,9600.0,8000,30400000.0,38400000.0,0
30,4,3487.98,2000,2000,6,3000.0,2000,10000000.0,12000000.0,0
30,5,1403.2,2000,2000,22,3000.0,2000,10000000.0,12000000.0,0
30,6,5893.45,4000,4000,7,6000.0,4000,20000000.0,24000000.0,0
30,7,5352.63,2000,2000,4,3000.0,2000,10000000.0,12000000.0,0
31,0,7950.7,8000,8000,16,9600.0,8000,30400000.0,38400000.0,0
31,1,5732.74,4000,4000,7,6000.0,4000,20000000.0,24000000.0,0
31,2,2623.2,2000,2000,8,3000.0,2000,10000000.0,12000000.0,0
31,3,9078.11,8000,8000,9,9600.0,8000,30400000.0,38400000.0,0
31,4,3256.25,2000,2000,7,3000.0,2000,10000000.0,12000000.0,0
31,5,1394.27,2000,2000,22,3000.0,2000,10000000.0,12000000.0,0
31,6,5083.14,4000,4000,8,6000.0,4000,20000000.0,24000000.0,0
31,7,5096.54,4000,4000,8,6000.0,4000,14000000.0,24000000.0,0
32,0,7887.56,8000,8000,16,9600.0,8000,30400000.0,38400000.0,0
32,1,5420.8,4000,4000,8,6000.0,4000,20000000.0,24000000.0,0
32,2,2868.06,2000,2000,7,3000.0,2000,10000000.0,12000000.0,0
32,3,8720.58,8000,8000,10,9600.0,8000,30400000.0,38400000.0,0
32,4,3146.24,2000,2000,7,3000.0,2000,10000000.0,12000000.0,0
32,5,1413.88,2000,2000,22,3000.0,2000,10000000.0,12000000.0,0
32,6,5443.45,4000,4000,8,6000.0,4000,20000000.0,24000000.0,0
32,7,4737.57,4000,4000,9,6000.0,4000,16000000.0,24000000.0,0
33,0,8178.35,8000,8000,10,9600.0,8000,30400000.0,38400000.0,0
33,1,5423.36,4000,4000,8,6000.0,4000,20000000.0,24000000.0,0
33,2,2720.84,2000,2000,8,3000.0,2000,10000000.0,12000000.0,0
33,3,8836.11,8000,8000,10,9600.0,8000,30400000.0,38400000.0,0
33,4,3196.01,2000,2000,7,3000.0,2000,10000000.0,12000000.0,0
33,5,1323.85,2000,2000,23,3000.0,2000,10000000.0,12000000.0,0
33,6,5460.91,4000,4000,8,6000.0,4000,20000000.0,24000000.0,0
33,7,4641.24,4000,4000,9,6000.0,4000,18000000.0,24000000.0,0
34,0,8206.73,8000,8000,10,9600.0,8000,30400000.0,38400000.0,0
34,1,5588.89,8000,8000,22,9600.0,8000,21600000.0,38400000.0,0
34,2,2958.74,2000,2000,7,3000.0,2000,10000000.0,12000000.0,0
34,3,8526.65,4000,4000,5,6000.0,4000,20000000.0,24000000.0,0
34,4,3729.26,2000,2000,6,3000.0,2000,10000000.0,12000000.0,0
34,5,1031.03,2000,2000,30,3000.0,2000,10000000.0,12000000.0,0
34,6,5422.96,4000,4000,8,6000.0,4000,20000000.0,24000000.0,0
34,7,4788.32,4000,4000,9,6000.0,4000,20000000.0,24000000.0,0
35,0,8276.97,4000,4000,5,6000.0,4000,20000000.0,24000000.0,0
35,1,5433.21,8000,8000,23,9600.0,8000,23200000.0,38400000.0,0
35,2,2927.52,2000,2000,7,3000.0,2000,10000000.0,12000000.0,0
35,3,8403.4,4000,4000,5,6000.0,4000,20000000.0,24000000.0,0
35,4,3581.92,8000,8000,34,9600.0,8000,20800000.0,38400000.0,0
35,5,1158.47,1000,1000,9,1500.0,1000,5000000.0,6000000.0,0
35,6,5512.21,4000,4000,8,6000.0,4000,20000000.0,24000000.0,0
35,7,4615.09,4000,4000,9,6000.0,4000,20000000.0,24000000.0,0
36,0,8501.87,4000,4000,5,6000.0,4000,20000000.0,24000000.0,0
36,1,5510.04,8000,8000,22,9600.0,8000,24800000.0,38400000.0,0
36,2,3000.0,1000,1000,4,1500.0,1000,5000000.0,6000000.0,0
36,3,8560.81,4000,4000,5,6000.0,4000,20000000.0,24000000.0,0
36,4,3374.67,8000,8000,36,9600.0,8000,22400000.0,38400000.0,0
36,5,1074.45,1000,1000,10,1500.0,1000,5000000.0,6000000.0,0
36,6,5699.04,4000,4000,8,6000.0,4000,20000000.0,24000000.0,0
36,7,4767.69,4000,4000,9,6000.0,4000,20000000.0,24000000.0,0
37,0,8496.65,4000,4000,5,6000.0,4000,20000000.0,24000000.0,0
37,1,5539.37,8000,8000,22,9600.0,8000,26400000.0,38400000.0,0
37,2,3000.0,1000,1000,4,1500.0,1000,5000000.0,6000000.0,0
37,3,8412.92,4000,4000,5,6000.0,4000,20000000.0,24000000.0,0
37,4,3511.45,8000,8000,35,9600.0,8000,24000000.0,38400000.0,0
37,5,1044.12,1000,1000,10,1500.0,1000,5000000.0,6000000.0,0
37,6,5644.62,4000,4000,8,6000.0,4000,20000000.0,24000000.0,0
37,7,5042.38,4000,4000,8,6000.0,4000,20000000.0,24000000.0,0
38,0,8703.0,4000,4000,5,6000.0,4000,20000000.0,24000000.0,0
38,1,5742.75,8000,8000,21,9600.0,8000,28000000.0,38400000.0,0
38,2,3000.0,1000,1000,4,1500.0,1000,5000000.0,6000000.0,0
38,3,8418.17,4000,4000,5,6000.0,4000,20000000.0,24000000.0,0
38,4,3681.94,8000,8000,33,9600.0,8000,25600000.0,38400000.0,0
38,5,1000.0,1000,1000,10,1500.0,1000,5000000.0,6000000.0,0
38,6,5725.66,4000,4000,7,6000.0,4000,20000000.0,24000000.0,0
38,7,5009.85,4000,4000,8,6000.0,4000,20000000.0,24000000.0,0
39,0,8727.25,4000,4000,5,6000.0,4000,20000000.0,24000000.0,0
39,1,5891.54,8000,8000,21,9600.0,8000,29600000.0,38400000.0,0
39,2,2877.27,1000,1000,4,1500.0,1000,5000000.0,6000000.0,0
39,3,8941.26,4000,4000,5,6000.0,4000,20000000.0,24000000.0,0
39,4,3430.43,8000,8000,35,9600.0,8000,27200000.0,38400000.0,0
39,5,1000.0,1000,1000,10,1500.0,1000,5000000.0,6000000.0,0
39,6,6015.19,4000,4000,7,6000.0,4000,20000000.0,24000000.0,0
39,7,5207.76,4000,4000,8,6000.0,4000,20000000.0,24000000.0,0
40,0,8883.28,4000,4000,5,6000.0,4000,20000000.0,24000000.0,0
40,1,6000.0,8000,8000,20,9600.0,8000,30400000.0,38400000.0,0
40,2,2875.43,1000,1000,4,1500.0,1000,5000000.0,6000000.0,0
40,3,8716.95,4000,4000,5,6000.0,4000,20000000.0,24000000.0,0
40,4,3449.38,8000,8000,35,9600.0,8000,28800000.0,38400000.0,0
40,5,1000.0,1000,1000,10,1500.0,1000,5000000.0,6000000.0,0
40,6,6258.96,4000,4000,7,6000.0,4000,20000000.0,24000000.0,0
40,7,5171.0,4000,4000,8,6000.0,4000,20000000.0,24000000.0,0
41,0,8676.91,4000,4000,5,6000.0,4000,20000000.0,24000000.0,0
41,1,5919.65,8000,8000,21,9600.0,8000,30400000.0,38400000.0,0
41,2,2937.37,1000,1000,4,1500.0,1000,5000000.0,6000000.0,0
41,3,8576.02,4000,4000,5,6000.0,4000,20000000.0,24000000.0,0
41,4,3243.83,8000,8000,37,9600.0,8000,30400000.0,38400000.0,0
41,5,1036.55,1000,1000,10,1500.0,1000,5000000.0,6000000.0,0
41,6,6320.21,4000,4000,7,6000.0,4000,20000000.0,24000000.0,0
41,7,5044.26,4000,4000,8,6000.0,4000,20000000.0,24000000.0,0
42,0,8559.15,4000,4000,5,6000.0,4000,20000000.0,24000000.0,0
42,1,5977.67,8000,8000,21,9600.0,8000,30400000.0,38400000.0,0
42,2,2720.16,1000,1000,4,1500.0,1000,5000000.0,6000000.0,0
42,3,8224.15,4000,4000,5,6000.0,4000,20000000.0,24000000.0,0
42,4,3064.22,8000,8000,40,9600.0,8000,30400000.0,38400000.0,0
42,5,1004.54,1000,1000,10,1500.0,1000,5000000.0,6000000.0,0
42,6,6397.93,4000,4000,7,6000.0,4000,20000000.0,24000000.0,0
42,7,5413.1,4000,4000,8,6000.0,4000,20000000.0,24000000.0,0
43,0,8773.56,4000,4000,5,6000.0,4000,20000000.0,24000000.0,0
43,1,5937.68,8000,8000,21,9600.0,8000,30400000.0,38400000.0,0
43,2,2717.3,1000,1000,4,1500.0,1000,5000000.0,6000000.0,0
43,3,7973.52,4000,4000,6,6000.0,4000,20000000.0,24000000.0,0
43,4,3059.59,8000,8000,40,9600.0,8000,30400000.0,38400000.0,0
43,5,1000.0,1000,1000,10,1500.0,1000,5000000.0,6000000.0,0
43,6,6478.61,4000,4000,7,6000.0,4000,20000000.0,24000000.0,0
43,7,5206.29,2000,2000,4,3000.0,2000,10000000.0,12000000.0,0
44,0,8903.4,4000,4000,5,6000.0,4000,20000000.0,24000000.0,0
44,1,6000.0,8000,8000,20,9600.0,8000,30400000.0,38400000.0,0
